,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,4.58,1.64,1.675,2.22,1.09,1.035,0.525,0.26,0.055
10 - 19,0.825870647,14.039801,1.985074627,2.179104478,1.900497512,0.751243781,0.422885572,0.233830846,0.069651741
20 - 29,0.487603306,1.702479339,7.363636364,3.165289256,2.289256198,2.041322314,0.561983471,0.26446281,0.082644628
30 - 39,1.056910569,1.658536585,3.674796748,4.886178862,3.097560976,1.796747967,0.943089431,0.390243902,0.113821138
40 - 49,0.487804878,1.634146341,3.292682927,3.154471545,3.886178862,1.93495935,0.81300813,0.552845528,0.056910569
50 - 59,0.637096774,1.193548387,2.887096774,2.629032258,2.798387097,2.935483871,1.056451613,0.508064516,0.233870968
60 - 69,0.55952381,0.857142857,1.821428571,2.369047619,1.916666667,1.654761905,1.595238095,0.511904762,0.178571429
70 - 79,0.461538462,0.884615385,0.692307692,1.384615385,1.653846154,1.384615385,1.230769231,1.461538462,0.076923077
80+,0.625,0.375,0.375,0.625,1.5,1.125,0.875,0.125,0.125
