,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,4.638297872,1.218085106,0.808510638,1.79787234,1.361702128,0.765957447,0.515957447,0.138297872,0.031914894
10 - 19,1.14516129,7.903225806,1.053763441,1.177419355,2.048387097,0.801075269,0.188172043,0.139784946,0.043010753
20 - 29,0.713043478,0.852173913,3.869565217,1.817391304,1.434782609,1.226086957,0.243478261,0.060869565,0.069565217
30 - 39,1.426229508,0.844262295,1.87704918,3.237704918,2.344262295,1.745901639,0.606557377,0.155737705,0.081967213
40 - 49,0.612903226,1.379032258,1.387096774,1.838709677,3.169354839,1.911290323,0.491935484,0.241935484,0.120967742
50 - 59,0.361344538,0.495798319,1.31092437,1.789915966,2.394957983,2.915966387,0.81512605,0.235294118,0.151260504
60 - 69,0.412698413,0.253968254,0.698412698,1.063492063,0.857142857,1.134920635,1.571428571,0.555555556,0.182539683
70 - 79,0.318181818,0.227272727,0.590909091,0.454545455,0.818181818,0.590909091,1.5,1.772727273,0.181818182
80+,0,0.25,0,0.5,0,0.5,0,0,0.25
