,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,6.4663212439999995,2.651413094,2.357720207,5.389597449,2.952945692,1.7521465590000003,1.231451879,0.429737792,0.48556624800000003
10 - 19,2.651413094,13.7,4.663636364,3.167482518,5.386700337000001,2.2422077930000004,0.655609285,0.5727272729999999,0.358441559
20 - 29,2.357720207,4.663636364,5.4079999999999995,6.0215384620000005,5.0343703699999995,4.202857143,1.9458723400000002,0.803151515,0.366857143
30 - 39,5.389597449,3.167482518,6.0215384620000005,5.317307692,8.518376068,4.615384615,3.433306056,1.3601398599999999,0.372252748
40 - 49,2.952945692,5.386700337000001,5.0343703699999995,8.518376068,5.007407407,5.306878307,2.803782506,1.706397306,1.094179894
50 - 59,1.7521465590000003,2.2422077930000004,4.202857143,4.615384615,5.306878307,2.6785714290000002,2.968389058,1.164718615,1.142857142
60 - 69,1.231451879,0.655609285,1.9458723400000002,3.433306056,2.803782506,2.968389058,2.021276596,1.958413927,1.4194528880000001
70 - 79,0.429737792,0.5727272729999999,0.803151515,1.3601398599999999,1.706397306,1.164718615,1.958413927,1.2727272729999999,2.7012987020000003
80+,0.48556624800000003,0.358441559,0.366857143,0.372252748,1.094179894,1.142857142,1.4194528880000001,2.7012987020000003,0.28571428600000004
