,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,4.58,,,,,,,,
10 - 19,2.465870647,14.039801,,,,,,,
20 - 29,2.1626033060000003,3.6875539660000003,7.3636363639999995,,,,,,
30 - 39,3.276910569,3.8376410630000004,6.840086004000001,4.8861788619999995,,,,,
40 - 49,1.577804878,3.5346438529999995,5.581939125,6.252032521,3.886178862,,,,
50 - 59,1.672096774,1.944792168,4.928419088,4.4257802250000005,4.733346447,2.935483871,,,
60 - 69,1.0845238099999999,1.2800284290000001,2.383412042,3.3121370500000005,2.729674797,2.711213518,1.595238095,,
70 - 79,0.721538462,1.118446231,0.9567705019999999,1.774859287,2.2066916819999998,1.8926799010000002,1.742673993,1.4615384619999998,
80+,0.68,0.444651741,0.457644628,0.738821138,1.556910569,1.358870968,1.053571429,0.201923077,0.125
