,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,8.34375,2.331595092,1.468406593,3.976768868,4.02394958,2.45922619,1.5845833329999999,0.977083333,0.9875
10 - 19,2.331595092,17.85276074,3.0668779080000004,2.359127214,5.732535959,5.2342974,1.921717791,1.0098841170000001,0.771779141
20 - 29,1.468406593,3.0668779080000004,7.5274725270000005,5.7808418,4.530058177,4.123809524,2.23985348,1.13980464,1.263736264
30 - 39,3.976768868,2.359127214,5.7808418,5.1981132080000005,7.520453464000001,4.448158131,4.168930818,1.491614255,0.579245283
40 - 49,4.02394958,5.732535959,4.530058177,7.520453464000001,4.2352941180000006,5.903641457000001,3.6361904760000003,2.7614379089999996,1.677310924
50 - 59,2.45922619,5.2342974,4.123809524,4.448158131,5.903641457000001,3.276190476,3.939047619,2.3555555559999997,2.057142857
60 - 69,1.5845833329999999,1.921717791,2.23985348,4.168930818,3.6361904760000003,3.939047619,2.173333333,3.611111111,1.586666667
70 - 79,0.977083333,1.0098841170000001,1.13980464,1.491614255,2.7614379089999996,2.3555555559999997,3.611111111,1.222222222,1.311111111
80+,0.9875,0.771779141,1.263736264,0.579245283,1.677310924,2.057142857,1.586666667,1.311111111,0.4
