,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,8.857142857000001,2.1246672579999997,1.404238619,4.795918368000001,3.1428571429999996,1.124018839,1.1877551020000001,0.157635468,0.157635468
10 - 19,2.1246672579999997,12.17391304,1.359531773,2.844720497,3.940993788,1.45819398,0.516770186,0.463268366,0.463268366
20 - 29,1.404238619,1.359531773,3.1538461539999996,5.00915751,3.9102564099999997,4.115384616,1.1549450549999998,0.37599469500000005,0.37599469500000005
30 - 39,4.795918368000001,2.844720497,5.00915751,5.619047619,7.1428571430000005,3.56043956,2.6952380949999997,0.761904762,0.761904762
40 - 49,3.1428571429999996,3.940993788,3.9102564099999997,7.1428571430000005,4.19047619,4.076923077,1.580952381,1.003284072,1.003284072
50 - 59,1.124018839,1.45819398,4.115384616,3.56043956,4.076923077,2.807692308,3.183516483,0.6942970829999999,0.6942970829999999
60 - 69,1.1877551020000001,0.516770186,1.1549450549999998,2.6952380949999997,1.580952381,3.183516483,2.142857143,1.1147783260000002,1.1147783260000002
70 - 79,0.157635468,0.463268366,0.37599469500000005,0.761904762,1.003284072,0.6942970829999999,1.1147783260000002,0.551724138,1.103448276
80+,0.157635468,0.463268366,0.37599469500000005,0.761904762,1.003284072,0.6942970829999999,1.1147783260000002,1.103448276,0.551724138
