,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,4.545059333333333,,,,,,,,
10 - 19,1.5888756973333336,9.101644913333335,,,,,,,
20 - 29,1.272125531,2.294756636,4.870560842333333,,,,,,
30 - 39,2.9660129559999997,1.8866290713333327,3.3986259333333333,3.330587736,,,,,
40 - 49,2.209271193333333,3.9556999863333333,2.987212059,4.433216488,2.8977980393333334,,,,
50 - 59,1.4058440633333333,2.4011264666666667,2.598427841333333,2.787834043666667,3.6241558190000003,2.4007054919999997,,,
60 - 69,0.9459237776666665,1.0217319303333332,1.3038824933333333,2.292573606,2.1782094919999997,2.4524585396666665,1.7543591109999999,,
70 - 79,0.675045111,0.5563907056666666,0.66239088,1.1431887516666666,1.3573339696666666,1.2213991853333335,2.3000517036666666,1.0740740739999999,
80+,0.4469686666666667,0.4342943803333333,0.6509347546666666,0.44053776099999997,0.9813929746666668,1.186505619,1.0588035556666666,0.938203037,0.33846133333333334
