,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,3.033333333,0.786666667,1.093333333,2.36,0.933333333,0.7,0.426666667,0.18,0.033333333
10 - 19,1.077464789,7.077464789,1.725352113,1.394366197,2.23943662,0.633802817,0.35915493,0.183098592,0.035211268
20 - 29,0.615384615,1.505494505,4.758241758,2.142857143,1.89010989,1.142857143,0.252747253,0.21978022,0.087912088
30 - 39,1.457831325,1.204819277,1.819277108,3.722891566,2.397590361,1.228915663,0.734939759,0.204819277,0.180722892
40 - 49,0.329545455,1.363636364,1.693181818,2.238636364,2.920454545,1.352272727,0.545454545,0.397727273,0.465909091
50 - 59,0.735849057,0.528301887,2.037735849,2.29245283,2.320754717,2.773584906,1.169811321,0.622641509,0.301886792
60 - 69,0.587301587,0.206349206,0.698412698,1.73015873,1.587301587,1.158730159,2.015873016,0.952380952,0.253968254
70 - 79,0.304347826,0.695652174,0.434782609,0.826086957,1.695652174,1.043478261,1.652173913,1.434782609,0.173913043
80+,0,0.25,0,0.75,0.25,0.75,0.75,0,0.5
