,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,3.0333333330000003,1.864131456,1.7087179479999999,3.8178313249999998,1.262878788,1.435849057,1.0139682540000001,0.484347826,0.033333333
10 - 19,1.864131456,7.0774647889999995,3.230846618,2.599185474,3.603072984,1.162104704,0.5655041359999999,0.878750766,0.285211268
20 - 29,1.7087179479999999,3.230846618,4.7582417580000005,3.962134251,3.583291708,3.1805929920000002,0.951159951,0.654562829,0.08791208800000001
30 - 39,3.8178313249999998,2.599185474,3.962134251,3.7228915660000004,4.636226725,3.521368493,2.4650984890000003,1.030906234,0.930722892
40 - 49,1.262878788,3.603072984,3.583291708,4.636226725,2.920454545,3.6730274439999997,2.132756132,2.0933794470000002,0.715909091
50 - 59,1.435849057,1.162104704,3.1805929920000002,3.521368493,3.6730274439999997,2.7735849060000004,2.32854148,1.6661197699999999,1.051886792
60 - 69,1.0139682540000001,0.5655041359999999,0.951159951,2.4650984890000003,2.132756132,2.32854148,2.015873016,2.6045548650000003,1.0039682540000001
70 - 79,0.484347826,0.878750766,0.654562829,1.030906234,2.0933794470000002,1.6661197699999999,2.6045548650000003,1.434782609,0.17391304300000002
80+,0.033333333,0.285211268,0.08791208800000001,0.930722892,0.715909091,1.051886792,1.0039682540000001,0.17391304300000002,0.5
