,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,8.857142857,0.755102041,0.673469388,2.367346939,1.285714286,0.816326531,0.673469388,0.071428571,0.071428571
10 - 19,1.369565217,12.17391304,0.782608696,1.130434783,2.369565217,0.804347826,0.173913043,0.239130435,0.239130435
20 - 29,0.730769231,0.576923077,3.153846154,2.961538462,1.576923077,1.461538462,0.269230769,0.134615385,0.134615385
30 - 39,2.428571429,1.714285714,2.047619048,5.619047619,4.380952381,1.714285714,1.238095238,0.261904762,0.261904762
40 - 49,1.857142857,1.571428571,2.333333333,2.761904762,4.19047619,2,0.380952381,0.261904762,0.261904762
50 - 59,0.307692308,0.653846154,2.653846154,1.846153846,2.076923077,2.807692308,1.269230769,0.211538462,0.211538462
60 - 69,0.514285714,0.342857143,0.885714286,1.457142857,1.2,1.914285714,2.142857143,0.528571429,0.528571429
70 - 79,0.086206897,0.224137931,0.24137931,0.5,0.74137931,0.482758621,0.586206897,0.551724138,0.551724138
80+,0.086206897,0.224137931,0.24137931,0.5,0.74137931,0.482758621,0.586206897,0.551724138,0.551724138
