,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,5.1522842639999995,,,,,,,,
10 - 19,2.4806150220000003,8.062801932000001,,,,,,,
20 - 29,2.367633142,2.6145910089999997,3.601694915,,,,,,
30 - 39,3.9587661069999998,2.852545522,3.4052151230000005,2.761538462,,,,,
40 - 49,1.989370471,3.564845783,3.369621903,3.91025641,2.897435897,,,,
50 - 59,1.167470389,1.5921497590000002,2.735028248,2.757692308,2.833760683,1.858333333,,,
60 - 69,1.0700835100000001,0.963378525,1.6381447059999998,2.3358147230000004,2.189137028,2.246774194,1.172043011,,
70 - 79,0.208997024,0.577294686,0.446522501,0.37029177700000004,1.006041851,0.782183908,0.8776418240000001,0.336206897,
80+,0.208997024,0.577294686,0.446522501,0.37029177700000004,1.006041851,0.782183908,0.8776418240000001,0.672413794,0.336206897
