day,Date
310,9/6/2020
311,9/7/2020
312,9/8/2020
313,9/9/2020
314,9/10/2020
315,9/11/2020
316,9/12/2020
317,9/13/2020
318,9/14/2020
319,9/15/2020
320,9/16/2020
321,9/17/2020
322,9/18/2020
323,9/19/2020
324,9/20/2020
325,9/21/2020
326,9/22/2020
327,9/23/2020
328,9/24/2020
329,9/25/2020
330,9/26/2020
331,9/27/2020
332,9/28/2020
333,9/29/2020
334,9/30/2020
335,10/1/2020
336,10/2/2020
337,10/3/2020
338,10/4/2020
339,10/5/2020
340,10/6/2020
341,10/7/2020
342,10/8/2020
343,10/9/2020
344,10/10/2020
345,10/11/2020
346,10/12/2020
347,10/13/2020
348,10/14/2020
349,10/15/2020
350,10/16/2020
351,10/17/2020
352,10/18/2020
353,10/19/2020
354,10/20/2020
355,10/21/2020
356,10/22/2020
357,10/23/2020
358,10/24/2020
359,10/25/2020
360,10/26/2020
361,10/27/2020
362,10/28/2020
363,10/29/2020
364,10/30/2020
365,10/31/2020
366,11/1/2020
367,11/2/2020
368,11/3/2020
369,11/4/2020
370,11/5/2020
371,11/6/2020
372,11/7/2020
373,11/8/2020
374,11/9/2020
375,11/10/2020
376,11/11/2020
377,11/12/2020
378,11/13/2020
379,11/14/2020
380,11/15/2020
381,11/16/2020
382,11/17/2020
383,11/18/2020
384,11/19/2020
385,11/20/2020
386,11/21/2020
387,11/22/2020
388,11/23/2020
389,11/24/2020
390,11/25/2020
391,11/26/2020
392,11/27/2020
393,11/28/2020
394,11/29/2020
395,11/30/2020
396,12/1/2020
397,12/2/2020
398,12/3/2020
399,12/4/2020
400,12/5/2020
401,12/6/2020
402,12/7/2020
403,12/8/2020
404,12/9/2020
405,12/10/2020
406,12/11/2020
407,12/12/2020
408,12/13/2020
409,12/14/2020
410,12/15/2020
411,12/16/2020
412,12/17/2020
413,12/18/2020
414,12/19/2020
415,12/20/2020
416,12/21/2020
417,12/22/2020
418,12/23/2020
419,12/24/2020
420,12/25/2020
421,12/26/2020
422,12/27/2020
423,12/28/2020
424,12/29/2020
425,12/30/2020
426,12/31/2020
427,1/1/2021
428,1/2/2021
429,1/3/2021
430,1/4/2021
431,1/5/2021
432,1/6/2021
433,1/7/2021
434,1/8/2021
435,1/9/2021
436,1/10/2021
437,1/11/2021
438,1/12/2021
439,1/13/2021
440,1/14/2021
441,1/15/2021
442,1/16/2021
443,1/17/2021
444,1/18/2021
445,1/19/2021
446,1/20/2021
447,1/21/2021
448,1/22/2021
449,1/23/2021
450,1/24/2021
451,1/25/2021
452,1/26/2021
453,1/27/2021
454,1/28/2021
455,1/29/2021
456,1/30/2021
457,1/31/2021
458,2/1/2021
459,2/2/2021
460,2/3/2021
461,2/4/2021
462,2/5/2021
463,2/6/2021
464,2/7/2021
465,2/8/2021
466,2/9/2021
467,2/10/2021
468,2/11/2021
469,2/12/2021
470,2/13/2021
471,2/14/2021
472,2/15/2021
473,2/16/2021
474,2/17/2021
475,2/18/2021
476,2/19/2021
477,2/20/2021
478,2/21/2021
479,2/22/2021
480,2/23/2021
481,2/24/2021
482,2/25/2021
483,2/26/2021
484,2/27/2021
485,2/28/2021
486,3/1/2021
487,3/2/2021
488,3/3/2021
489,3/4/2021
490,3/5/2021
491,3/6/2021
492,3/7/2021
493,3/8/2021
494,3/9/2021
495,3/10/2021
496,3/11/2021
497,3/12/2021
498,3/13/2021
499,3/14/2021
500,3/15/2021
501,3/16/2021
502,3/17/2021
503,3/18/2021
504,3/19/2021
505,3/20/2021
506,3/21/2021
507,3/22/2021
508,3/23/2021
509,3/24/2021
510,3/25/2021
511,3/26/2021
512,3/27/2021
513,3/28/2021
514,3/29/2021
515,3/30/2021
516,3/31/2021
517,4/1/2021
518,4/2/2021
519,4/3/2021
520,4/4/2021
521,4/5/2021
522,4/6/2021
523,4/7/2021
524,4/8/2021
525,4/9/2021
526,4/10/2021
