,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,2.645714,0.891429,0.937143,1.754286,1.011429,0.582857,0.434286,0.228571,0.022857
10 - 19,0.326087,4.726087,1.108696,0.904348,1.391304,0.595652,0.321739,0.147826,0.034783
20 - 29,0.236842,0.8,3.542105,1.278947,1.215789,0.878947,0.4,0.173684,0.036842
30 - 39,0.706349,0.746032,0.928571,2.396825,1.47619,0.809524,0.642857,0.150794,0.063492
40 - 49,0.290503,1.675978,1,1.413408,2.22905,0.972067,0.47486,0.223464,0.094972
50 - 59,0.296296,0.388889,0.95679,1.148148,1.512346,1.962963,0.728395,0.154321,0.135802
60 - 69,0.192308,0.25,0.435897,0.711538,0.974359,0.980769,1.544872,0.371795,0.179487
70 - 79,0.295455,0.181818,0.25,0.818182,0.431818,0.5,1.272727,1,0.136364
80+,0.153846,0.230769,0.307692,0.307692,0.538462,0.615385,0.615385,0.615385,0.307692
