,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,4.638297872,,,,,,,,
10 - 19,2.363246396,7.903225806,,,,,,,
20 - 29,1.521554116,1.9059373539999998,3.869565217,,,,,,
30 - 39,3.224101848,2.02168165,3.6944404840000002,3.237704918,,,,,
40 - 49,1.9746053540000001,3.427419355,2.8218793829999997,4.182971972,3.169354839,,,,
50 - 59,1.127301985,1.296873588,2.537011327,3.535817605,4.3062483060000005,2.9159663869999997,,,
60 - 69,0.92865586,0.442140297,0.941890959,1.67004944,1.349078341,1.9500466850000002,1.571428571,,
70 - 79,0.45647969,0.367057673,0.651778656,0.61028316,1.060117302,0.826203209,2.055555556,1.772727273,
80+,0.031914894,0.293010753,0.069565217,0.581967213,0.12096774199999999,0.651260504,0.182539683,0.181818182,0.25
