,<10,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+
<10,2.645714,1.2175160000000003,1.173985,2.460635,1.301932,0.879153,0.6265939999999999,0.524026,0.176703
10 - 19,1.2175160000000003,4.726087000000001,1.908696,1.6503799999999997,3.067282,0.9845410000000001,0.571739,0.32964400000000005,0.265552
20 - 29,1.173985,1.908696,3.5421050000000003,2.207518,2.215789,1.835737,0.8358970000000001,0.423684,0.344534
30 - 39,2.460635,1.6503799999999997,2.207518,2.396825,2.889598,1.957672,1.354395,0.968976,0.371184
40 - 49,1.301932,3.067282,2.215789,2.889598,2.22905,2.484413,1.449219,0.655282,0.633434
50 - 59,0.879153,0.9845410000000001,1.835737,1.957672,2.484413,1.962963,1.709164,0.654321,0.751187
60 - 69,0.6265939999999999,0.571739,0.8358970000000001,1.354395,1.449219,1.709164,1.544872,1.6445219999999998,0.794872
70 - 79,0.524026,0.32964400000000005,0.423684,0.968976,0.655282,0.654321,1.6445219999999998,1.0,0.7517490000000001
80+,0.176703,0.265552,0.344534,0.371184,0.633434,0.751187,0.794872,0.7517490000000001,0.307692
